signal_date,entry_date,exit_date,ticker,zone_latent,zone_obs,zone_kind,P_obs,P_start,energy,U,L,y_start,p_up,p_down,p_none,a,slope,sigma
2019-01-04,2019-01-07,2019-01-18,QQQ,2,3,vol,149.51954650878912,142.40238114993983,3.811101984915625,145.9211842894455,136.34703371073027,0.2806148197272064,0.4612727272727273,0.11618181818181818,0.42254545454545456,0.0008001409217028465,-0.0004092870897426776,0.011412968429235927
2019-01-04,2019-01-07,2019-01-18,SPY,6,3,tube,226.98286437988273,243.22272738839882,4.514237063479643,245.79475978609716,241.46982096599763,-0.18511232670744926,0.4610909090909091,0.5245454545454545,0.014363636363636356,0.0003013107852169132,-3.697223405844163e-05,0.008363033486950337
2019-01-07,2019-01-08,2019-01-22,QQQ,2,4,vol,151.2996520996094,136.12151150863065,0.2835872975114593,145.9211842894455,136.0179170058532,-0.9783342682418243,0.04290909090909091,0.7434545454545455,0.21363636363636362,0.0008001409217028465,-0.0004092870897426776,0.011412968429235927
2019-01-07,2019-01-08,2019-01-22,SPY,6,3,tube,228.77255249023435,244.0031500914912,0.23587007177862385,245.79475978609716,241.46982096599763,0.17580138793572708,0.5805454545454546,0.4070909090909091,0.012363636363636299,0.0003013107852169132,-3.697223405844163e-05,0.008363033486950337
2019-01-08,2019-01-09,2019-01-23,QQQ,2,4,vol,152.66824340820315,138.99928017551127,0.16323667863423358,145.9211842894455,135.99062605463843,-0.379041301147831,0.16945454545454544,0.3390909090909091,0.4914545454545455,0.0008001409217028465,-0.0004092870897426776,0.011412968429235927
2019-01-08,2019-01-09,2019-01-23,SPY,6,3,tube,230.9219665527344,244.93989396253687,0.3323236005186086,245.79475978609716,241.46982096599763,0.6074860171520247,0.6996363636363636,0.2892727272727273,0.011090909090909096,0.0003013107852169132,-3.697223405844163e-05,0.008363033486950337
2019-01-09,2019-01-10,2019-01-24,QQQ,2,4,vol,153.9123840332031,141.75193316327577,0.1411100503153269,145.9211842894455,136.28412675679996,0.15146256363670133,0.38381818181818184,0.16218181818181818,0.45399999999999996,0.0008001409217028465,-0.0004092870897426776,0.011412968429235927
2019-01-09,2019-01-10,2019-01-24,SPY,6,3,tube,232.00112915039054,245.4161038344505,0.08718630563941591,245.79475978609716,241.46982096599763,0.8263077760391105,0.7509090909090909,0.23927272727272728,0.009818181818181865,0.0003013107852169132,-3.697223405844163e-05,0.008363033486950337
2019-01-10,2019-01-11,2019-01-25,QQQ,2,4,vol,154.35261535644526,142.66170795349933,0.017505715750587923,145.9211842894455,136.29229429101912,0.33815143207734777,0.4903636363636364,0.10290909090909091,0.40672727272727277,0.0008001409217028465,-0.0004092870897426776,0.011412968429235927
2019-01-10,2019-01-11,2019-01-25,SPY,6,4,tube,232.819564819336,241.43619993514696,0.05119769439199204,245.79475978609716,241.34510144559493,-0.9586851995404794,0.23472727272727273,0.7549090909090909,0.010363636363636464,0.0003013107852169132,-3.697223405844163e-05,0.008363033486950337
