date,n_candidates_before_filters,n_candidates_after_filters,n_selected,sum_w,selected_assets,selected_avg_p_up,selected_avg_upside,fallback_used
2025-10-17,4,3,3,1.0,IONQ|SPY|QQQ,0.6515757575757576,0.02461063230072306,0
2025-10-31,4,4,4,1.0,NVTS|IONQ|SPY|QQQ,0.712,0.032773843159293714,0
2025-11-14,4,2,2,1.0,NVTS|SPY,0.5444545454545454,0.05604329177752654,0
2025-12-01,4,1,1,1.0,QQQ,0.6150909090909091,0.010891383929933607,0
2025-12-15,4,2,2,1.0,NVTS|SPY,0.6297272727272727,0.06549488237396839,0
2025-12-30,4,1,1,1.0,NVTS,0.3276363636363636,0.21863311328969215,0
2026-01-14,4,3,3,0.9999999999999999,SPY|NVTS|QQQ,0.6575151515151516,0.0042262125494316,0
2026-01-29,4,0,1,1.0,SPY,,,1
2026-02-12,4,2,2,1.0,IONQ|SPY,0.733090909090909,0.007566363892768102,0
2026-02-27,4,2,2,1.0,NVTS|QQQ,0.6379999999999999,0.027907584746466596,0
2026-03-13,2,2,2,1.0,IONQ|NVTS,0.7108181818181818,0.015184692344180739,0
