date,label,cash,gross_exposure,equity,cash_weight
2019-06-20,strategy_topk_horizon,0.0,100004.31831413083,100004.31831413083,0.0
2019-06-21,strategy_topk_horizon,0.0,99603.4891068869,99603.4891068869,0.0
2019-06-24,strategy_topk_horizon,0.0,99577.5411815497,99577.5411815497,0.0
2019-06-25,strategy_topk_horizon,0.0,98945.45489009499,98945.45489009499,0.0
2019-06-26,strategy_topk_horizon,0.0,98464.01110219868,98464.01110219868,0.0
2019-06-27,strategy_topk_horizon,0.0,98944.67458546715,98944.67458546715,0.0
2019-06-28,strategy_topk_horizon,0.0,99442.17897520596,99442.17897520596,0.0
2019-07-01,strategy_topk_horizon,0.0,99767.03409320394,99767.03409320394,0.0
2019-07-02,strategy_topk_horizon,0.0,100282.643474234,100282.643474234,0.0
2019-07-03,strategy_topk_horizon,0.0,100976.43245876783,100976.43245876783,0.0
2019-07-05,strategy_topk_horizon,0.0,100601.26295256383,100601.26295256382,0.0
2019-07-08,strategy_topk_horizon,0.0,100167.43980605311,100167.43980605311,0.0
2019-07-09,strategy_topk_horizon,0.0,100158.92443339227,100158.92443339227,0.0
2019-07-10,strategy_topk_horizon,0.0,100907.5752074061,100907.5752074061,0.0
2019-07-11,strategy_topk_horizon,0.0,101038.26529761973,101038.26529761973,0.0
2019-07-12,strategy_topk_horizon,0.0,101448.52833661283,101448.52833661283,0.0
2019-07-15,strategy_topk_horizon,0.0,101369.84497825806,101369.84497825806,0.0
2019-07-16,strategy_topk_horizon,0.0,100912.45536111115,100912.45536111115,0.0
2019-07-17,strategy_topk_horizon,0.0,100322.95851699128,100322.95851699128,0.0
2019-07-18,strategy_topk_horizon,0.0,100412.61622022625,100412.61622022623,0.0
2019-07-19,strategy_topk_horizon,0.0,100135.44302958871,100135.44302958871,0.0
2019-07-22,strategy_topk_horizon,0.0,100188.2663093507,100188.2663093507,0.0
2019-07-23,strategy_topk_horizon,0.0,100706.01254422979,100706.01254422979,0.0
2019-07-24,strategy_topk_horizon,0.0,101112.83478525167,101112.83478525167,0.0
2019-07-25,strategy_topk_horizon,0.0,100493.99833167685,100493.99833167685,0.0
2019-07-26,strategy_topk_horizon,0.0,100872.30085032324,100872.30085032324,0.0
2019-07-29,strategy_topk_horizon,0.0,100867.40337484304,100867.40337484304,0.0
2019-07-30,strategy_topk_horizon,0.0,101183.77924231596,101183.77924231596,0.0
2019-07-31,strategy_topk_horizon,0.0,100434.6730221896,100434.6730221896,0.0
2019-08-01,strategy_topk_horizon,0.0,100017.28977240286,100017.28977240286,0.0
2019-08-02,strategy_topk_horizon,0.0,99511.40710240717,99511.40710240717,0.0
2019-08-05,strategy_topk_horizon,0.0,97535.63152305885,97535.63152305885,0.0
2019-08-06,strategy_topk_horizon,0.0,98323.5937087294,98323.5937087294,0.0
2019-08-07,strategy_topk_horizon,0.0,98659.14950684726,98659.14950684726,0.0
2019-08-08,strategy_topk_horizon,0.0,99962.34490569364,99962.34490569364,0.0
2019-08-09,strategy_topk_horizon,0.0,99437.55564365555,99437.55564365555,0.0
2019-08-12,strategy_topk_horizon,0.0,98799.049691728,98799.049691728,0.0
2019-08-13,strategy_topk_horizon,0.0,99762.78742313501,99762.787423135,0.0
2019-08-14,strategy_topk_horizon,0.0,97782.35645846161,97782.35645846161,0.0
2019-08-15,strategy_topk_horizon,0.0,98016.1902213033,98016.19022130329,0.0
2019-08-16,strategy_topk_horizon,0.0,99031.69382030968,99031.69382030968,0.0
2019-08-19,strategy_topk_horizon,0.0,99619.2063562145,99619.2063562145,0.0
2019-08-20,strategy_topk_horizon,0.0,99153.98524452462,99153.98524452462,0.0
2019-08-21,strategy_topk_horizon,0.0,99629.66371727944,99629.66371727944,0.0
2019-08-22,strategy_topk_horizon,0.0,99619.82115983038,99619.82115983038,0.0
2019-08-23,strategy_topk_horizon,0.0,98098.69524261195,98098.69524261195,0.0
2019-08-26,strategy_topk_horizon,0.0,98725.09303648103,98725.09303648103,0.0
2019-08-27,strategy_topk_horizon,0.0,98551.74465838437,98551.74465838437,0.0
2019-08-28,strategy_topk_horizon,0.0,99079.25401502689,99079.25401502689,0.0
2019-08-29,strategy_topk_horizon,0.0,99925.4100256822,99925.4100256822,0.0
2019-08-30,strategy_topk_horizon,0.0,100061.0016026224,100061.0016026224,0.0
