date,label,SPY,QQQ,NVTS,IONQ
2022-10-20,spy_ief_60_40,0.5982841176200476,0.0,0.0,0.0
2022-10-21,spy_ief_60_40,0.6040410319971325,0.0,0.0,0.0
2022-10-24,spy_ief_60_40,0.6069462134433526,0.0,0.0,0.0
2022-10-25,spy_ief_60_40,0.6107191940541874,0.0,0.0,0.0
2022-10-26,spy_ief_60_40,0.6089197206538971,0.0,0.0,0.0
2022-10-27,spy_ief_60_40,0.6076439292402571,0.0,0.0,0.0
2022-10-28,spy_ief_60_40,0.6132351139042355,0.0,0.0,0.0
2022-10-31,spy_ief_60_40,0.6115142678868642,0.0,0.0,0.0
2022-11-01,spy_ief_60_40,0.6104719603390869,0.0,0.0,0.0
2022-11-02,spy_ief_60_40,0.6044113370549636,0.0,0.0,0.0
2022-11-03,spy_ief_60_40,0.599702586929393,0.0,0.0,0.0
2022-11-04,spy_ief_60_40,0.6031282181379836,0.0,0.0,0.0
2022-11-07,spy_ief_60_40,0.6054047182148649,0.0,0.0,0.0
2022-11-08,spy_ief_60_40,0.6066893941245695,0.0,0.0,0.0
2022-11-09,spy_ief_60_40,0.6017111926326802,0.0,0.0,0.0
2022-11-10,spy_ief_60_40,0.6144596382694764,0.0,0.0,0.0
2022-11-11,spy_ief_60_40,0.6167389783940019,0.0,0.0,0.0
2022-11-14,spy_ief_60_40,0.6147175860111621,0.0,0.0,0.0
2022-11-15,spy_ief_60_40,0.616727098122634,0.0,0.0,0.0
2022-11-16,spy_ief_60_40,0.6149152701873197,0.0,0.0,0.0
2022-11-17,spy_ief_60_40,0.6023099950308148,0.0,0.0,0.0
2022-11-18,spy_ief_60_40,0.6033946174680185,0.0,0.0,0.0
2022-11-21,spy_ief_60_40,0.6025225314500982,0.0,0.0,0.0
2022-11-22,spy_ief_60_40,0.6057194405469138,0.0,0.0,0.0
2022-11-23,spy_ief_60_40,0.6072186626365506,0.0,0.0,0.0
2022-11-25,spy_ief_60_40,0.60716531331577,0.0,0.0,0.0
2022-11-28,spy_ief_60_40,0.6033220833961686,0.0,0.0,0.0
2022-11-29,spy_ief_60_40,0.602910587524397,0.0,0.0,0.0
2022-11-30,spy_ief_60_40,0.6103115825904543,0.0,0.0,0.0
2022-12-01,spy_ief_60_40,0.6101364614249679,0.0,0.0,0.0
