date,label,cash,gross_exposure,equity,cash_weight
2022-10-20,spy_ief_60_40,40000.0,59572.86170270723,99572.86170270723,0.40171588237995237
2022-10-21,spy_ief_60_40,40000.0,61020.56837290859,101020.56837290859,0.3959589680028675
2022-10-24,spy_ief_60_40,40000.0,61767.24246933352,101767.24246933352,0.3930537865566474
2022-10-25,spy_ief_60_40,40000.0,62753.58915478597,102753.58915478596,0.3892808059458127
2022-10-26,spy_ief_60_40,40000.0,62280.79019192968,102280.79019192967,0.3910802793461029
2022-10-27,spy_ief_60_40,40000.0,61948.21230252807,101948.21230252806,0.392356070759743
2022-10-28,spy_ief_60_40,40000.0,63422.005042349796,103422.0050423498,0.3867648860957645
2022-10-31,spy_ief_60_40,40000.0,62963.884368219486,102963.88436821949,0.38848573211313575
2022-11-01,spy_ief_60_40,40000.0,62688.37138096729,102688.37138096729,0.3895280396609131
2022-11-02,spy_ief_60_40,40000.0,61115.13232510825,101115.13232510825,0.39558866294503636
2022-11-03,spy_ief_60_40,40224.334179846985,60261.7865554673,100486.12073531428,0.40029741307060696
2022-11-04,spy_ief_60_40,40224.334179846985,61129.1407160631,101353.47489591008,0.39687178186201644
2022-11-07,spy_ief_60_40,40224.334179846985,61713.86943443221,101938.20361427919,0.3945952817851352
2022-11-08,spy_ief_60_40,40224.334179846985,62046.831608616034,102271.16578846303,0.39331060587543043
2022-11-09,spy_ief_60_40,40224.334179846985,60768.54695514887,100992.88113499586,0.39828880736731975
2022-11-10,spy_ief_60_40,40224.334179846985,64108.02157999453,104332.3557598415,0.38554036173052375
2022-11-11,spy_ief_60_40,40224.334179846985,64728.50973653386,104952.84391638084,0.3832610216059981
2022-11-14,spy_ief_60_40,40224.334179846985,64177.872407792194,104402.20658763917,0.385282413988838
2022-11-15,spy_ief_60_40,40224.334179846985,64725.25652384794,104949.59070369492,0.38327290187736596
2022-11-16,spy_ief_60_40,40224.334179846985,64231.467532710216,104455.80171255721,0.38508472981268016
2022-11-17,spy_ief_60_40,41458.12050778494,62789.207787522115,104247.32829530706,0.3976900049691851
