date,label,fee_paid,turnover,SPY,QQQ,NVTS,IONQ
2022-10-20,spy_ief_60_40,0.0,0.6,0.6,0.0,0.0,0.0
2022-11-03,spy_ief_60_40,0.0,0.0022308305101480545,0.6,0.0,0.0,0.0
2022-11-17,spy_ief_60_40,0.0,0.011903929197236757,0.6,0.0,0.0,0.0
2022-12-02,spy_ief_60_40,0.0,0.007117900917246919,0.6,0.0,0.0,0.0
2022-12-16,spy_ief_60_40,0.0,0.009342666396206532,0.6,0.0,0.0,0.0
2023-01-03,spy_ief_60_40,0.0,0.0005053284294309399,0.6,0.0,0.0,0.0
2023-01-18,spy_ief_60_40,0.0,0.008936964191518335,0.6,0.0,0.0,0.0
2023-02-01,spy_ief_60_40,0.0,0.003694797695035978,0.6,0.0,0.0,0.0
2023-02-15,spy_ief_60_40,0.0,0.0030213472995584455,0.6,0.0,0.0,0.0
2023-03-02,spy_ief_60_40,0.0,0.010608689685348062,0.6,0.0,0.0,0.0
2023-03-16,spy_ief_60_40,0.0,0.003613906024151084,0.6,0.0,0.0,0.0
2023-03-30,spy_ief_60_40,0.0,0.011340998365153468,0.6,0.0,0.0,0.0
2023-04-14,spy_ief_60_40,0.0,0.00511285649073818,0.6,0.0,0.0,0.0
2023-04-28,spy_ief_60_40,0.0,0.0007689361433044556,0.6,0.0,0.0,0.0
2023-05-12,spy_ief_60_40,0.0,0.0011225594729996002,0.6,0.0,0.0,0.0
2023-05-26,spy_ief_60_40,0.0,0.0011057081405627792,0.6,0.0,0.0,0.0
2023-06-12,spy_ief_60_40,0.0,0.00881029196392401,0.6,0.0,0.0,0.0
2023-06-27,spy_ief_60_40,0.0,0.0016838164525993789,0.6,0.0,0.0,0.0
2023-07-12,spy_ief_60_40,0.0,0.007644723709562329,0.6,0.0,0.0,0.0
2023-07-26,spy_ief_60_40,0.0,0.0042975166910917085,0.6,0.0,0.0,0.0
2023-08-09,spy_ief_60_40,0.0,0.002893602226510826,0.6,0.0,0.0,0.0
2023-08-23,spy_ief_60_40,0.0,0.005296446872486286,0.6,0.0,0.0,0.0
2023-09-07,spy_ief_60_40,0.0,0.0020979372040390147,0.6,0.0,0.0,0.0
2023-09-21,spy_ief_60_40,0.0,0.0032065352781099313,0.6,0.0,0.0,0.0
2023-10-05,spy_ief_60_40,0.0,0.006345580606338049,0.6,0.0,0.0,0.0
2023-10-19,spy_ief_60_40,0.0,0.003692596192641974,0.6,0.0,0.0,0.0
2023-11-02,spy_ief_60_40,0.0,0.0024485684271328195,0.6,0.0,0.0,0.0
2023-11-16,spy_ief_60_40,0.0,0.012344489226952934,0.6,0.0,0.0,0.0
2023-12-01,spy_ief_60_40,0.0,0.00346904767323121,0.6,0.0,0.0,0.0
2023-12-15,spy_ief_60_40,0.0,0.008061264737635972,0.6,0.0,0.0,0.0
2024-01-02,spy_ief_60_40,0.0,0.0013602272283865717,0.6,0.0,0.0,0.0
2024-01-17,spy_ief_60_40,0.0,0.00017288886087655952,0.6,0.0,0.0,0.0
2024-01-31,spy_ief_60_40,0.0,0.008366868663189989,0.6,0.0,0.0,0.0
2024-02-14,spy_ief_60_40,0.0,0.003973100433664619,0.6,0.0,0.0,0.0
2024-02-29,spy_ief_60_40,0.0,0.005376139743093057,0.6,0.0,0.0,0.0
2024-03-14,spy_ief_60_40,0.0,0.00416036972128114,0.6,0.0,0.0,0.0
2024-03-28,spy_ief_60_40,0.0,0.0036185925519920292,0.6,0.0,0.0,0.0
2024-04-12,spy_ief_60_40,0.0,0.004096523337725217,0.6,0.0,0.0,0.0
2024-04-26,spy_ief_60_40,0.0,0.003777387846277021,0.6,0.0,0.0,0.0
2024-05-10,spy_ief_60_40,0.0,0.007195907247561029,0.6,0.0,0.0,0.0
2024-05-24,spy_ief_60_40,0.0,0.002758852180934244,0.6,0.0,0.0,0.0
2024-06-10,spy_ief_60_40,0.0,0.002408843826427994,0.6,0.0,0.0,0.0
2024-06-25,spy_ief_60_40,0.0,0.0055769661042149535,0.6,0.0,0.0,0.0
2024-07-10,spy_ief_60_40,0.0,0.005688698315475261,0.6,0.0,0.0,0.0
2024-07-24,spy_ief_60_40,0.0,0.0035686772470471966,0.6,0.0,0.0,0.0
2024-08-07,spy_ief_60_40,0.0,0.009119220907635176,0.6,0.0,0.0,0.0
2024-08-21,spy_ief_60_40,0.0,0.013726839139245696,0.6,0.0,0.0,0.0
2024-09-05,spy_ief_60_40,0.0,0.0038438718006578846,0.6,0.0,0.0,0.0
2024-09-19,spy_ief_60_40,0.0,0.00857749602073974,0.6,0.0,0.0,0.0
2024-10-03,spy_ief_60_40,0.0,0.0008042844830722672,0.6,0.0,0.0,0.0
2024-10-17,spy_ief_60_40,0.0,0.007695851893643122,0.6,0.0,0.0,0.0
2024-10-31,spy_ief_60_40,0.0,0.004284936911604266,0.6,0.0,0.0,0.0
2024-11-14,spy_ief_60_40,0.0,0.008872348225273939,0.6,0.0,0.0,0.0
2024-11-29,spy_ief_60_40,0.0,0.0009379879741569281,0.6,0.0,0.0,0.0
2024-12-13,spy_ief_60_40,0.0,0.0026794510566156724,0.6,0.0,0.0,0.0
2024-12-30,spy_ief_60_40,0.0,0.006651546420001812,0.6,0.0,0.0,0.0
